column  row  current_HV_Setting  new_HV_Setting  Voltage_change
17      05     1015.626         1013.286         -  2.340
17      06     1045.208         1021.630         - 23.578
17      07     1025.962         1032.544         +  6.582
17      08     1018.945         1003.983         - 14.962
17      09      978.447          958.297         - 20.150
17      10      837.363          810.630         - 26.733
17      11      929.926          910.283         - 19.643
17      12      938.862          914.774         - 24.088
17      13      868.136          846.563         - 21.573
17      14      941.409          920.979         - 20.430
17      15      868.165          860.327         -  7.838
17      16      886.868          869.400         - 17.468
17      17      902.538          887.439         - 15.099
17      18      835.325          812.846         - 22.479
17      19      871.615          842.978         - 28.637
17      20      903.618          890.387         - 13.231
17      21      916.668          909.334         -  7.334
17      22      899.134          874.237         - 24.897
17      23      876.747          864.511         - 12.236
17      24      839.752          811.832         - 27.920
17      25      884.176          866.117         - 18.059
17      26      882.111          892.572         + 10.461
17      27      844.912          824.890         - 20.022
17      28      906.179          904.202         -  1.977
17      29      854.940          840.042         - 14.898
17      30     1050.000         1050.000         +  0.000
17      31     1043.367         1027.180         - 16.187
17      32     1044.339         1039.029         -  5.310
17      33     1050.000         1050.000         +  0.000
17      34      998.395          979.162         - 19.233
17      35     1030.823         1028.275         -  2.548
17      36     1020.807         1016.396         -  4.411
17      37     1008.232          979.704         - 28.528
17      38     1021.371         1019.912         -  1.459
17      39     1029.729         1017.288         - 12.441
18      00     1003.472          989.440         - 14.032
18      01     1027.592         1015.972         - 11.620
18      02     1002.859          986.149         - 16.710
18      03     1012.409         1016.533         +  4.124
18      04      954.437          933.834         - 20.603
