# index    column     row     aimADC
625       24         14         10.00   
626       24         13         10.00   
627       24         12         10.00   
628       24         11         10.00   
629       24         10         10.00   
630       24         9          10.00   
631       24         8          10.00   
632       24         7          10.00   
633       24         6          10.00   
634       24         5          10.00   
635       24         4          10.00   
636       24         3          10.00   
637       24         2          10.00   
638       24         1          10.00   
639       24         0          10.00   
640       23         39         10.00   
641       23         38         10.00   
642       23         37         10.00   
643       23         36         10.00   
644       23         35         10.00   
645       23         34         10.00   
646       23         33         10.00   
647       23         32         10.00   
648       23         31         10.00   
649       23         30         10.00   
650       23         29         10.00   
651       23         28         10.00   
652       23         27         10.00   
653       23         26         10.00   
654       23         25         10.00   
655       23         24         10.00   
656       23         23         10.00   
657       23         22         10.00   
658       23         21         10.00   
659       23         20         10.00   
660       23         19         10.00   
661       23         18         10.00   
662       23         17         10.00   
663       23         16         10.00   
664       23         15         10.00   
665       23         14         10.00   
666       23         13         10.00   
667       23         12         10.00   
668       23         11         10.00   
669       23         10         10.00   
670       23         9          10.00   
671       23         8          10.00   
672       23         7          10.00   
673       23         6          10.00   
674       23         5          10.00   
675       23         4          10.00   
676       23         3          10.00   
677       23         2          10.00   
678       23         1          10.00   
679       23         0          10.00   
680       22         39         10.00   
681       22         38         10.00   
682       22         37         10.00   
683       22         36         10.00   
684       22         35         10.00   
685       22         34         10.00   
686       22         33         10.00   
687       22         32         10.00   
688       22         31         10.00   
689       22         30         10.00   
690       22         29         10.00   
691       22         28         10.00   
692       22         27         10.00   
693       22         26         10.00   
694       22         25         10.00   
695       22         24         10.00   
696       22         23         10.00   
697       22         22         10.00   
698       22         21         10.00   
699       22         20         10.00   
700       22         19         10.00   
701       22         18         10.00   
702       22         17         10.00   
703       22         16         10.00   
704       22         15         10.00   
705       22         14         10.00   
706       22         13         10.00   
707       22         12         10.00   
708       22         11         10.00   
709       22         10         10.00   
710       22         9          10.00   
711       22         8          10.00   
712       22         7          10.00   
713       22         6          10.00   
714       22         5          10.00   
715       22         4          10.00   
716       22         3          10.00   
717       22         2          10.00   
718       22         1          10.00   
719       22         0          10.00   
720       21         39         10.00   
721       21         38         10.00   
722       21         37         10.00   
723       21         36         10.00   
724       21         35         10.00   
725       21         34         10.00   
726       21         33         10.00   
727       21         32         10.00   
728       21         31         10.00   
729       21         30         10.00   
730       21         29         10.00   
731       21         28         10.00   
732       21         27         10.00   
733       21         26         10.00   
734       21         25         10.00   
735       21         24         10.00   
736       21         23         10.00   
737       21         22         10.00   
738       21         21         10.00   
739       21         20         10.00   
740       21         19         10.00   
741       21         18         10.00   
742       21         17         10.00   
743       21         16         10.00   
744       21         15         10.00   
745       21         14         10.00   
746       21         13         10.00   
747       21         12         10.00   
748       21         11         10.00   
749       21         10         10.00   
750       21         9          10.00   
751       21         8          10.00   
752       21         7          10.00   
753       21         6          10.00   
754       21         5          10.00   
755       21         4          10.00   
756       21         3          10.00   
757       21         2          10.00   
758       21         1          10.00   
759       21         0          10.00   
760       20         39         10.00   
761       20         38         10.00   
762       20         37         10.00   
763       20         36         10.00   
764       20         35         10.00   
765       20         34         10.00   
766       20         33         10.00   
767       20         32         10.00   
768       20         31         10.00   
769       20         30         10.00   
770       20         29         10.00   
771       20         28         10.00   
772       20         27         10.00   
773       20         26         10.00   
774       20         25         10.00   
775       20         24         10.00   
776       20         23         10.00   
777       20         22         10.00   
778       20         21         10.00   
779       20         20         10.00   
780       20         19         10.00   
781       20         18         10.00   
782       20         17         10.00   
783       20         16         10.00   
784       20         15         10.00   
785       20         14         10.00   
786       20         13         10.00   
787       20         12         10.00   
788       20         11         10.00   
789       20         10         10.00   
790       20         9          10.00   
791       20         8          10.00   
792       20         7          10.00   
793       20         6          10.00   
794       20         5          10.00   
795       20         4          10.00   
796       20         3          10.00   
797       20         2          10.00   
798       20         1          10.00   
799       20         0          10.00   
800       19         39         10.00   
801       19         38         10.00   
802       19         37         10.00   
803       19         36         10.00   
804       19         35         10.00   
805       19         34         10.00   
806       19         33         10.00   
807       19         32         10.00   
808       19         31         10.00   
809       19         30         10.00   
810       19         29         10.00   
811       19         28         10.00   
812       19         27         10.00   
813       19         26         10.00   
814       19         25         10.00   
815       19         24         10.00   
816       19         23         10.00   
817       19         22         10.00   
818       19         21         10.00   
