column  row  current_HV_Setting  new_HV_Setting  Voltage_change
06      27      995.814         1042.638         + 46.824
06      28     1015.909         1050.000         + 34.091
06      29      963.965          976.907         + 12.942
06      30      986.251         1015.567         + 29.316
06      31      946.463          966.342         + 19.879
06      32      986.333         1016.861         + 30.528
06      33      990.283         1014.262         + 23.979
06      34      975.901         1007.625         + 31.724
06      35      972.712         1001.657         + 28.945
06      36     1050.000         1050.000         +  0.000
06      37      991.029         1020.068         + 29.039
06      38      984.472         1026.776         + 42.304
06      39     1019.421         1050.000         + 30.579
07      00      991.087         1030.711         + 39.624
07      01      991.593         1032.532         + 40.939
07      02      991.535         1022.731         + 31.196
07      03      993.286         1024.899         + 31.613
07      04      988.593         1025.992         + 37.399
07      05      999.969         1041.506         + 41.537
07      06      991.622         1031.762         + 40.140
07      07      985.057         1021.022         + 35.965
07      08      990.914         1017.960         + 27.046
07      09      999.781         1032.549         + 32.768
07      10      958.610          977.352         + 18.742
07      11      996.116         1037.943         + 41.827
07      12      992.816         1026.976         + 34.160
07      13      937.506          973.021         + 35.515
07      14      933.207          957.290         + 24.083
07      15      928.758          956.320         + 27.562
07      16      942.263          992.047         + 49.784
07      17      984.106         1005.924         + 21.818
07      18      987.318         1020.971         + 33.653
07      19     1011.806         1050.000         + 38.194
07      20      993.036         1050.000         + 56.964
07      21      993.742         1035.703         + 41.961
07      22      982.615         1012.964         + 30.349
07      23      981.751         1006.271         + 24.520
07      24      993.315         1024.321         + 31.006
07      25      990.641         1026.776         + 36.135
07      26      993.816         1036.250         + 42.434
07      27      996.146         1050.000         + 53.854
07      28     1012.678         1042.714         + 30.036
07      29     1005.887         1050.000         + 44.113
07      30      975.775         1009.481         + 33.706
07      31      983.714         1014.696         + 30.982
07      32     1012.398         1046.496         + 34.098
07      33     1036.076         1050.000         + 13.924
07      34      979.096         1008.486         + 29.390
07      35      990.885         1017.018         + 26.133
07      36      992.392         1026.000         + 33.608
07      37      987.891         1020.286         + 32.395
07      38     1017.396         1050.000         + 32.604
07      39      994.602         1033.837         + 39.235
08      00      986.003         1021.189         + 35.186
08      01      990.326         1023.548         + 33.222
08      02      981.170         1050.000         + 68.830
08      03      990.426         1026.793         + 36.367
08      04      968.976          987.231         + 18.255
