# index    column     row     hvBot
452       28         27         950.00  
453       28         26         950.00  
454       28         25         950.00  
455       28         24         950.00  
456       28         23         950.00  
457       28         22         950.00  
458       28         21         950.00  
459       28         20         950.00  
460       28         19         950.00  
461       28         18         950.00  
462       28         17         950.00  
463       28         16         950.00  
464       28         15         950.00  
465       28         14         950.00  
466       28         13         950.00  
467       28         12         950.00  
468       28         11         950.00  
469       28         10         950.00  
470       28         9          950.00  
471       28         8          950.00  
472       28         7          950.00  
473       28         6          950.00  
474       28         5          950.00  
475       28         4          950.00  
476       28         3          950.00  
477       28         2          950.00  
478       28         1          950.00  
479       28         0          950.00  
480       27         39         950.00  
481       27         38         950.00  
482       27         37         950.00  
483       27         36         950.00  
484       27         35         950.00  
485       27         34         950.00  
486       27         33         950.00  
487       27         32         950.00  
488       27         31         950.00  
489       27         30         950.00  
490       27         29         950.00  
491       27         28         950.00  
492       27         27         950.00  
493       27         26         950.00  
494       27         25         950.00  
495       27         24         950.00  
496       27         23         950.00  
497       27         22         950.00  
498       27         21         950.00  
499       27         20         950.00  
500       27         19         950.00  
501       27         18         950.00  
502       27         17         950.00  
503       27         16         950.00  
504       27         15         950.00  
505       27         14         950.00  
506       27         13         950.00  
507       27         12         950.00  
508       27         11         950.00  
509       27         10         950.00  
510       27         9          950.00  
511       27         8          950.00  
512       27         7          950.00  
513       27         6          950.00  
514       27         5          950.00  
515       27         4          950.00  
516       27         3          950.00  
517       27         2          950.00  
518       27         1          950.00  
519       27         0          950.00  
520       26         39         950.00  
521       26         38         950.00  
522       26         37         950.00  
523       26         36         950.00  
524       26         35         950.00  
525       26         34         950.00  
526       26         33         950.00  
527       26         32         950.00  
528       26         31         950.00  
529       26         30         950.00  
530       26         29         950.00  
531       26         28         950.00  
532       26         27         950.00  
533       26         26         950.00  
534       26         25         950.00  
535       26         24         950.00  
536       26         23         950.00  
537       26         22         950.00  
538       26         21         950.00  
539       26         20         950.00  
540       26         19         950.00  
541       26         18         950.00  
542       26         17         950.00  
543       26         16         950.00  
544       26         15         950.00  
545       26         14         950.00  
546       26         13         950.00  
547       26         12         950.00  
548       26         11         950.00  
549       26         10         950.00  
550       26         9          950.00  
551       26         8          950.00  
552       26         7          950.00  
553       26         6          950.00  
554       26         5          950.00  
555       26         4          950.00  
556       26         3          950.00  
