# index    column     row     hvBot
689       22         30         910.00  
690       22         29         910.00  
691       22         28         910.00  
692       22         27         910.00  
693       22         26         910.00  
694       22         25         910.00  
695       22         24         910.00  
696       22         23         910.00  
697       22         22         910.00  
698       22         21         910.00  
699       22         20         910.00  
700       22         19         910.00  
701       22         18         910.00  
702       22         17         910.00  
703       22         16         910.00  
704       22         15         910.00  
705       22         14         910.00  
706       22         13         910.00  
707       22         12         910.00  
708       22         11         910.00  
709       22         10         910.00  
710       22         9          910.00  
711       22         8          910.00  
712       22         7          910.00  
713       22         6          910.00  
714       22         5          910.00  
715       22         4          910.00  
716       22         3          910.00  
717       22         2          910.00  
718       22         1          910.00  
719       22         0          910.00  
720       21         39         910.00  
721       21         38         910.00  
722       21         37         910.00  
723       21         36         910.00  
724       21         35         910.00  
725       21         34         910.00  
726       21         33         910.00  
727       21         32         910.00  
728       21         31         910.00  
729       21         30         910.00  
730       21         29         910.00  
731       21         28         910.00  
732       21         27         910.00  
733       21         26         910.00  
734       21         25         910.00  
735       21         24         910.00  
736       21         23         910.00  
737       21         22         910.00  
738       21         21         910.00  
739       21         20         910.00  
740       21         19         910.00  
741       21         18         910.00  
742       21         17         910.00  
743       21         16         910.00  
744       21         15         910.00  
745       21         14         910.00  
746       21         13         910.00  
747       21         12         910.00  
748       21         11         910.00  
749       21         10         910.00  
750       21         9          910.00  
751       21         8          910.00  
752       21         7          910.00  
753       21         6          910.00  
754       21         5          910.00  
755       21         4          910.00  
756       21         3          910.00  
757       21         2          910.00  
758       21         1          910.00  
759       21         0          910.00  
760       20         39         910.00  
761       20         38         910.00  
762       20         37         910.00  
763       20         36         910.00  
764       20         35         910.00  
765       20         34         910.00  
766       20         33         910.00  
767       20         32         910.00  
768       20         31         910.00  
769       20         30         910.00  
770       20         29         910.00  
771       20         28         910.00  
772       20         27         910.00  
773       20         26         910.00  
774       20         25         910.00  
775       20         24         910.00  
776       20         23         910.00  
777       20         22         910.00  
778       20         21         910.00  
779       20         20         910.00  
780       20         19         910.00  
781       20         18         910.00  
782       20         17         910.00  
783       20         16         910.00  
784       20         15         910.00  
785       20         14         910.00  
786       20         13         910.00  
787       20         12         910.00  
788       20         11         910.00  
789       20         10         910.00  
790       20         9          910.00  
791       20         8          910.00  
792       20         7          910.00  
793       20         6          910.00  
794       20         5          910.00  
795       20         4          910.00  
