# index    column     row     hvCap
480       27         39         915.00 
481       27         38         915.00 
482       27         37         915.00 
483       27         36         915.00 
484       27         35         915.00 
485       27         34         915.00 
486       27         33         915.00 
487       27         32         915.00 
488       27         31         915.00 
489       27         30         915.00 
490       27         29         915.00 
491       27         28         915.00 
492       27         27         915.00 
493       27         26         915.00 
494       27         25         915.00 
495       27         24         915.00 
496       27         23         915.00 
497       27         22         915.00 
498       27         21         915.00 
499       27         20         915.00 
500       27         19         915.00 
501       27         18         915.00 
502       27         17         915.00 
503       27         16         915.00 
504       27         15         915.00 
505       27         14         915.00 
506       27         13         915.00 
507       27         12         915.00 
508       27         11         915.00 
509       27         10         915.00 
510       27         9          915.00 
511       27         8          915.00 
512       27         7          915.00 
513       27         6          915.00 
514       27         5          915.00 
515       27         4          915.00 
516       27         3          915.00 
517       27         2          915.00 
518       27         1          915.00 
519       27         0          915.00 
520       26         39         915.00 
521       26         38         915.00 
522       26         37         915.00 
523       26         36         915.00 
524       26         35         915.00 
525       26         34         915.00 
526       26         33         915.00 
527       26         32         915.00 
528       26         31         915.00 
529       26         30         915.00 
530       26         29         915.00 
531       26         28         915.00 
532       26         27         915.00 
533       26         26         915.00 
534       26         25         915.00 
535       26         24         915.00 
536       26         23         915.00 
537       26         22         915.00 
538       26         21         915.00 
539       26         20         915.00 
540       26         19         915.00 
541       26         18         915.00 
542       26         17         915.00 
543       26         16         915.00 
544       26         15         915.00 
545       26         14         915.00 
546       26         13         915.00 
547       26         12         915.00 
548       26         11         915.00 
549       26         10         915.00 
550       26         9          915.00 
551       26         8          915.00 
552       26         7          915.00 
553       26         6          915.00 
554       26         5          915.00 
555       26         4          915.00 
556       26         3          915.00 
557       26         2          915.00 
558       26         1          915.00 
559       26         0          915.00 
560       25         39         915.00 
561       25         38         915.00 
562       25         37         915.00 
563       25         36         915.00 
564       25         35         915.00 
565       25         34         915.00 
566       25         33         915.00 
567       25         32         915.00 
568       25         31         915.00 
569       25         30         915.00 
570       25         29         915.00 
571       25         28         915.00 
572       25         27         915.00 
573       25         26         915.00 
574       25         25         915.00 
575       25         24         915.00 
576       25         23         915.00 
577       25         22         915.00 
578       25         21         915.00 
579       25         20         915.00 
580       25         19         915.00 
581       25         18         915.00 
582       25         17         915.00 
583       25         16         915.00 
584       25         15         915.00 
585       25         14         915.00 
586       25         13         915.00 
587       25         12         915.00 
588       25         11         915.00 
589       25         10         915.00 
590       25         9          915.00 
591       25         8          915.00 
592       25         7          915.00 
593       25         6          915.00 
594       25         5          915.00 
595       25         4          915.00 
596       25         3          915.00 
597       25         2          915.00 
598       25         1          915.00 
599       25         0          915.00 
600       24         39         915.00 
601       24         38         915.00 
602       24         37         915.00 
603       24         36         915.00 
604       24         35         915.00 
605       24         34         915.00 
606       24         33         915.00 
607       24         32         915.00 
608       24         31         915.00 
609       24         30         915.00 
610       24         29         915.00 
611       24         28         915.00 
612       24         27         915.00 
613       24         26         915.00 
614       24         25         915.00 
615       24         24         915.00 
616       24         23         915.00 
617       24         22         915.00 
618       24         21         915.00 
619       24         20         915.00 
620       24         19         915.00 
621       24         18         915.00 
622       24         17         915.00 
623       24         16         915.00 
624       24         15         915.00 
625       24         14         915.00 
626       24         13         915.00 
627       24         12         915.00 
628       24         11         915.00 
629       24         10         915.00 
630       24         9          915.00 
631       24         8          915.00 
632       24         7          915.00 
633       24         6          915.00 
634       24         5          915.00 
635       24         4          915.00 
636       24         3          915.00 
