// index column row  mean  error sigma   chi2/ndf width  status
 191   35    8 123.763    0.836   40.000   42.949    93.200   FAILED
 192   35    7 123.144    0.512   40.000   191.570    93.200   FAILED
 193   35    6 123.812    0.591   40.000   108.733    93.200   FAILED
 194   35    5 123.061    0.138   40.000   3455.485    93.200   FAILED
 195   35    4 122.969    0.082   40.000   10903.005    93.200   FAILED
 196   35    3 122.357    0.723   40.000   69.074    93.200   FAILED
 197   35    2   3.084   167.244   30.000   -0.000    69.900   FAILED
 198   35    1   3.084   167.244   30.000   -0.000    69.900   FAILED
 199   35    0 123.051    0.044   40.000   39782.350    93.200   FAILED
 200   34   39   3.084   167.244   30.000   -0.000    69.900   FAILED
 201   34   38   3.084   167.244   30.000   -0.000    69.900   FAILED
 202   34   37   3.084   167.244   30.000   -0.000    69.900   FAILED
 203   34   36 123.332    0.838   40.000   44.850    93.200   FAILED
 204   34   35   3.084   167.244   30.000   -0.000    69.900   FAILED
 205   34   34   3.084   167.244   30.000   -0.000    69.900   FAILED
 206   34   33   3.084   167.244   30.000   -0.000    69.900   FAILED
 207   34   32 123.731    0.724   40.000   62.915    93.200   FAILED
 208   34   31 124.327    1.447   40.000    8.162    93.200   FAILED
 209   34   30 123.809    0.290   40.000   541.416    93.200   FAILED
 210   34   29 123.994    0.459   40.000   173.380    93.200   FAILED
 211   34   28 123.573    0.725   40.000   82.470    93.200   FAILED
 212   34   27 125.026    1.452   40.000    8.669    93.200   FAILED
 213   34   26 123.785    0.837   40.000   41.564    93.200   FAILED
 214   34   25 123.370    0.483   40.000   218.927    93.200   FAILED
 215   34   24 123.798    0.296   40.000   483.998    93.200   FAILED
 216   34   23 123.812    1.027   40.000   27.799    93.200   FAILED
 217   34   22 123.713    0.725   40.000   91.388    93.200   FAILED
 218   34   21   3.084   167.244   30.000   -0.000    69.900   FAILED
 219   34   20 123.587    1.455   40.000   10.469    93.200   FAILED
 220   34   19 124.763    1.454   40.000    7.898    93.200   FAILED
 221   34   18   3.084   167.244   30.000   -0.000    69.900   FAILED
 222   34   17   3.084   167.244   30.000   -0.000    69.900   FAILED
 223   34   16 123.395    0.362   40.000   397.758    93.200   FAILED
 224   34   15 123.592    0.290   40.000   707.308    93.200   FAILED
 225   34   14 123.863    0.324   40.000   394.097    93.200   FAILED
 226   34   13 123.737    0.324   40.000   399.652    93.200   FAILED
 227   34   12   3.084   167.244   30.000   -0.000    69.900   FAILED
 228   34   11 123.672    0.418   40.000   318.496    93.200   FAILED
 229   34   10 123.718    0.279   40.000   523.252    93.200   FAILED
 230   34    9 123.614    0.279   40.000   780.535    93.200   FAILED
 231   34    8 123.604    0.418   40.000   303.214    93.200   FAILED
 232   34    7   3.084   167.244   30.000   -0.000    69.900   FAILED
 233   34    6   3.084   167.244   30.000   -0.000    69.900   FAILED
 234   34    5   3.084   167.244   30.000   -0.000    69.900   FAILED
 235   34    4 123.024    0.046   40.000   35952.975    93.200   FAILED
 236   34    3 123.089    0.156   40.000   2585.625    93.200   FAILED
 237   34    2 122.930    0.074   40.000   13583.684    93.200   FAILED
 238   34    1 123.091    0.107   40.000   6269.539    93.200   FAILED
 239   34    0   3.084   167.244   30.000   -0.000    69.900   FAILED
 240   33   39   3.084   167.244   30.000   -0.000    69.900   FAILED
 241   33   38 124.508    0.727   40.000   64.403    93.200   FAILED
 242   33   37 124.330    0.549   40.000   123.030    93.200   FAILED
 243   33   36 124.358    0.649   40.000   85.141    93.200   FAILED
 244   33   35   3.084   167.244   30.000   -0.000    69.900   FAILED
