#row 1 Col 23 -> 37
45 16  180 64  184 68
46 16  184 64  188 68
47 16  188 64  192 68
48 16  192 64  196 68
49 16  196 64  200 68
50 16  200 64  204 68
51 16  204 64  208 68
52 16  208 64  212 68
53 16  212 64  216 68
54 16  216 64  220 68
55 16  220 64  224 68
56 16  224 64  228 68

#row 18 Col 3 -> 57
 2 17    8 68   12 72
 3 17   12 68   16 72
 4 17   16 68   20 72
 5 17   20 68   24 72
 6 17   24 68   28 72
 7 17   28 68   32 72
 8 17   32 68   36 72
 9 17   36 68   40 72
10 17   40 68   44 72
11 17   44 68   48 72
12 17   48 68   52 72
13 17   52 68   56 72
14 17   56 68   60 72
15 17   60 68   64 72
16 17   64 68   68 72
17 17   68 68   72 72
18 17   72 68   76 72
19 17   76 68   80 72
20 17   80 68   84 72
21 17   84 68   88 72
22 17   88 68   92 72
23 17   92 68   96 72
24 17   96 68  100 72
25 17  100 68  104 72
26 17  104 68  108 72
27 17  108 68  112 72
28 17  112 68  116 72
29 17  116 68  120 72
30 17  120 68  124 72
31 17  124 68  128 72
32 17  128 68  132 72
33 17  132 68  136 72
34 17  136 68  140 72
35 17  140 68  144 72
36 17  144 68  148 72
37 17  148 68  152 72
38 17  152 68  156 72
39 17  156 68  160 72
40 17  160 68  164 72
41 17  164 68  168 72
42 17  168 68  172 72
43 17  172 68  176 72
44 17  176 68  180 72
45 17  180 68  184 72
46 17  184 68  188 72
47 17  188 68  192 72
48 17  192 68  196 72
49 17  196 68  200 72
50 17  200 68  204 72
51 17  204 68  208 72
52 17  208 68  212 72
53 17  212 68  216 72
54 17  216 68  220 72
55 17  220 68  224 72
56 17  224 68  228 72

#row 19 Col 3 -> 57
 2 18    8 72   12 76
 3 18   12 72   16 76
 4 18   16 72   20 76
 5 18   20 72   24 76
 6 18   24 72   28 76
 7 18   28 72   32 76
 8 18   32 72   36 76
 9 18   36 72   40 76
10 18   40 72   44 76
11 18   44 72   48 76
12 18   48 72   52 76
13 18   52 72   56 76
14 18   56 72   60 76
15 18   60 72   64 76
16 18   64 72   68 76
17 18   68 72   72 76
18 18   72 72   76 76
19 18   76 72   80 76
20 18   80 72   84 76
21 18   84 72   88 76
22 18   88 72   92 76
23 18   92 72   96 76
24 18   96 72  100 76
25 18  100 72  104 76
26 18  104 72  108 76
27 18  108 72  112 76
28 18  112 72  116 76
